011002,札幌市
011011,札幌市中央区
011029,札幌市北区
011037,札幌市東区
011045,札幌市白石区
011053,札幌市豊平区
011061,札幌市南区
011070,札幌市西区
011088,札幌市厚別区
011096,札幌市手稲区
011100,札幌市清田区
041009,仙台市
041017,仙台市青葉区
041025,仙台市宮城野区
041033,仙台市若林区
041041,仙台市太白区
041050,仙台市泉区
111007,さいたま市
111015,さいたま市西区
111023,さいたま市北区
111031,さいたま市大宮区
111040,さいたま市見沼区
111058,さいたま市中央区
111066,さいたま市桜区
111074,さいたま市浦和区
111082,さいたま市南区
111091,さいたま市緑区
111104,さいたま市岩槻区
121002,千葉市
121011,千葉市中央区
121029,千葉市花見川区
121037,千葉市稲毛区
121045,千葉市若葉区
121053,千葉市緑区
121061,千葉市美浜区
141003,横浜市
141011,横浜市鶴見区
141020,横浜市神奈川区
141038,横浜市西区
141046,横浜市中区
141054,横浜市南区
141062,横浜市保土ケ谷区
141071,横浜市磯子区
141089,横浜市金沢区
141097,横浜市港北区
141101,横浜市戸塚区
141119,横浜市港南区
141127,横浜市旭区
141135,横浜市緑区
141143,横浜市瀬谷区
141151,横浜市栄区
141160,横浜市泉区
141178,横浜市青葉区
141186,横浜市都筑区
141305,川崎市
141313,川崎市川崎区
141321,川崎市幸区
141330,川崎市中原区
141348,川崎市高津区
141356,川崎市多摩区
141364,川崎市宮前区
141372,川崎市麻生区
141500,相模原市
141518,相模原市緑区
141526,相模原市中央区
141534,相模原市南区
151009,新潟市
151017,新潟市北区
151025,新潟市東区
151033,新潟市中央区
151041,新潟市江南区
151050,新潟市秋葉区
151068,新潟市南区
151076,新潟市西区
151084,新潟市西蒲区
221007,静岡市
221015,静岡市葵区
221023,静岡市駿河区
221031,静岡市清水区
221309,浜松市
221317,浜松市中区
221325,浜松市東区
221333,浜松市西区
221341,浜松市南区
221350,浜松市北区
221368,浜松市浜北区
221376,浜松市天竜区
231002,名古屋市
231011,名古屋市千種区
231029,名古屋市東区
231037,名古屋市北区
231045,名古屋市西区
231053,名古屋市中村区
231061,名古屋市中区
231070,名古屋市昭和区
231088,名古屋市瑞穂区
231096,名古屋市熱田区
231100,名古屋市中川区
231118,名古屋市港区
231126,名古屋市南区
231134,名古屋市守山区
231142,名古屋市緑区
231151,名古屋市名東区
231169,名古屋市天白区
261009,京都市
261017,京都市北区
261025,京都市上京区
261033,京都市左京区
261041,京都市中京区
261050,京都市東山区
261068,京都市下京区
261076,京都市南区
261084,京都市右京区
261092,京都市伏見区
261106,京都市山科区
261114,京都市西京区
271004,大阪市
271021,大阪市都島区
271039,大阪市福島区
271047,大阪市此花区
271063,大阪市西区
271071,大阪市港区
271080,大阪市大正区
271098,大阪市天王寺区
271110,大阪市浪速区
271136,大阪市西淀川区
271144,大阪市東淀川区
271152,大阪市東成区
271161,大阪市生野区
271179,大阪市旭区
271187,大阪市城東区
271195,大阪市阿倍野区
271209,大阪市住吉区
271217,大阪市東住吉区
271225,大阪市西成区
271233,大阪市淀川区
271241,大阪市鶴見区
271250,大阪市住之江区
271268,大阪市平野区
271276,大阪市北区
271284,大阪市中央区
271403,堺市
271411,堺市堺区
271420,堺市中区
271438,堺市東区
271446,堺市西区
271454,堺市南区
271462,堺市北区
271471,堺市美原区
281000,神戸市
281018,神戸市東灘区
281026,神戸市灘区
281051,神戸市兵庫区
281069,神戸市長田区
281077,神戸市須磨区
281085,神戸市垂水区
281093,神戸市北区
281107,神戸市中央区
281115,神戸市西区
331007,岡山市
331015,岡山市北区
331023,岡山市中区
331031,岡山市東区
331040,岡山市南区
341002,広島市
341011,広島市中区
341029,広島市東区
341037,広島市南区
341045,広島市西区
341053,広島市安佐南区
341061,広島市安佐北区
341070,広島市安芸区
341088,広島市佐伯区
401005,北九州市
401013,北九州市門司区
401030,北九州市若松区
401056,北九州市戸畑区
401064,北九州市小倉北区
401072,北九州市小倉南区
401081,北九州市八幡東区
401099,北九州市八幡西区
401307,福岡市
401315,福岡市東区
401323,福岡市博多区
401331,福岡市中央区
401340,福岡市南区
401358,福岡市西区
401366,福岡市城南区
401374,福岡市早良区
